review_id,sentences_ids,sentences_texts,sentences_opinions
g196719-d4294505-r223776905,id_3,L'accueil et le service sont chaleureux.,accueil positive <sep> service positive
g187147-d1516382-r258841083,id_1,Le veau était tellement vieux .....qu'on aurait dit du mauvais bœuf saignant...,veau negative
g187140-d1322541-r286192533,id_0,On ne peut dire que du bien de ce restaurant.,restaurant positive
g187147-d2620480-r270783301,id_2,J'ai tendance à avoir des apprioris sur les repas dans les brasseries mais la nous avons été satisfait.,repas positive
g187175-d1323640-r182961160,id_0,"Repas copieux, généreux et plutôt bon.",Repas positive
g187073-d6353467-r248081497,id_1,La chaleur de l'établissement et des serveurs contribuent à un bien-être certain!!,établissement positive <sep> serveurs positive
g187253-d1854779-r278211239,id_4,Normal quand les serveuses et serveuses ne gèrent pas leurs tables...vacances va et vient sans aucune logique de service!,serveuses et serveuses negative <sep> service negative
g187253-d2248119-r222961718,id_7,Quant à la salade de fruit acide et pétillante... je soupconne qu'ils y aient mis de l'orangina...,salade de fruit negative
g196719-d7112090-r271954522,id_3,Je ne parle pas des accompagnements !,accompagnements negative
g187122-d3253908-r246575372,id_4,De beaux verres auraient été appréciés pour boire un bon vin.,vin negative
g187178-d1319910-r260824414,id_0,A faire avant la fermeture car c'est un endroit mythique de Lille.,endroit positive
g608761-d2053817-r143008138,id_1,"Je prends la formule "" entrée -plat du jour pour 12€50.""",
g187147-d7910212-r273306333,id_7,"Le patron breton est, lui, sympa !",patron positive
g187253-d4379462-r259558222,id_1,"Mais que c'est-il passé, ce restaurant est devenu un attrape touristes très cher sans aucune qualité!!!",restaurant negative
g207360-d4481417-r281591572,id_3,Le bressane est ma préférée.,bressane positive
g187253-d4972334-r237403818,id_2,Un cadre simple mais pourtant très authentique et étudié...un style américain années 70 tout en simplicité et goût.,cadre positive
g196495-d1325023-r259859192,id_2,Sauce blanche délicieuse !!!!,Sauce blanche positive
g187147-d718132-r119263750,id_6,"La carte des vins était adéquate, mais le vin est servi un tantinet trop chaud.",carte des vins positive <sep> vin negative
g187147-d718146-r234555664,id_4,Juste un peu déçu sur l'assaisonnement.,assaisonnement negative
g3463365-d3594852-r200815446,id_5,Nous avons fait la remarque à la serveuse qui a transmis au cuisinier.,
g187147-d1516382-r258841083,id_12,On doit leur faire manger la cuisine du restau.....,cuisine negative
g187143-d1327801-r268704148,id_1,"Le ""complet"" est fameux, à la hauteur du ""samourai"" de son concurrent le bigban.",complet positive <sep> samourai positive <sep> bigban positive
g187147-d1474710-r268236876,id_4,"Pas besoin d'en dire plus, ce bar est affreux",bar negative
g187253-d1323139-r272593855,id_3,Mention spéciale aux serveurs pour leur professionnalisme.,serveurs positive
g187253-d907767-r282001273,id_1,"Salade aux chèvres peu fraiche, cafés gourmands à 9 € , cadre poussiéreux, service peu professionnel.",Salade aux chèvres negative <sep> cafés gourmands negative <sep> cadre negative <sep> service negative
g187253-d1323139-r272593855,id_0,"La terrasse est très bien exposée, le personnel est très sympathique et la cuisine est de grande qualité.",terrasse positive <sep> personnel positive <sep> cuisine positive
g187269-d1811061-r210549792,id_6,L’accueil est agréable malgré tout.,accueil positive
g187147-d1392655-r199033401,id_3,"Nous avons eu le tort de nous rabattre sur un burger et un fish and chips, erreur fatale: burger moyen, frites molles et grasses, quant au fish and chips impression d'ingurgiter uniquement de la pâte à friture baignée de graisse.",frites negative <sep> fish and chips negative <sep> burger negative
g187253-d1098498-r217655976,id_4,"En effet, les supions sont servis à peine frits avec des têtes d'ail entières tout comme les pommes de terre sautées du jamais vu et surtout aucun goût!",supions negative <sep> pommes de terre sautées negative
g187269-d1811061-r210549792,id_5,"Menu Grands Gourmand, 2 plats, 4 € de supplément pour le fromage...",fromage negative
g187253-d4414030-r197767293,id_0,Restaurant visité un soir en semaine avec réservation.,
g187253-d1234630-r274467132,id_0,Correspond par tous points au piège à touristes par excellence.,piège à touristes negative
g187253-d1550066-r280463454,id_5,Et je parle pas de l'aïoli...,aïoli negative
g187147-d1804977-r259316015,id_0,Le service dans ce bistro plus que typique parisien est agréablement bon.,bistro neutral <sep> service positive
g187147-d4235143-r220435098,id_1,Un simple café de quartier qui s'improvise restaurateur.,café negative
g187147-d781410-r245477683,id_3,"En résumé, ce restaurant est à éviter.",restaurant negative
g187147-d3216867-r254353823,id_6,Nos entrée sont donc arrivées puis nos plats après une très longue attente alors que c'était les assiettes arrivées trop tôt qu'ils ont réchauffées... Des pâtes froides au dessus et qui fument en dessous = micro-onde.,attente negative <sep> pâtes negative
g187122-d3253908-r246575372,id_3,Le vin n'a pas été servi à la bonne température.,vin negative
g187075-d1324447-r268262547,id_1,Attente interminable !,Attente negative
g297569-d4443971-r266268877,id_3,"Une très bonne adresse, dans le genre",adresse positive
g187253-d1308414-r269942828,id_5,"Le seul petit bémol : le plat principal du menu m'a été servi quasi froid, peut-être à cause du temps de préparation de la bouillabaisse.",plat principal negative
g187175-d4274999-r261894068,id_3,Un endroit a recommander bien évidement pour le centre-ville de toulouse.,endroit positive
g187147-d718802-r273847722,id_0,"Cuisine correcte mais pas exceptionnelle, service lent.",Cuisine neutral <sep> service negative
g187155-d2467288-r225229825,id_1,Je déconseille ce restaurant,restaurant negative
g187209-d2416523-r258651167,id_2,"Je pense y retourner très vite en couple cette fois ci car le cadre et magnifique, la nourriture est délicieuse et l'accueil très chaleureux",cadre positive <sep> nourriture positive <sep> accueil positive
g187147-d786149-r239880232,id_0,"L'endroit est sale, la nourriture industrielle et de très mauvaise qualité, le personnel peu aimable, rien dans ce restaurant n'est acceptable.",endroit negative <sep> nourriture negative <sep> personnel negative <sep> restaurant negative
g187147-d779419-r270630138,id_3,"Si on cherche la petite bête, peut etre un peu d'attente.",attente negative
g187269-d907777-r261465070,id_0,Je connais ce restaurant depuis de très nombreuses années pour y avoir amené des clients.,
g187147-d718807-r133440963,id_3,"je vous conseille la formule à 16,50 €.",formule positive
g196719-d2614773-r269869318,id_1,"Des plats très copieux, des produits du terroir ainsi qu'un service impeccable plongés dans une très bonne ambiance.",plats positive <sep> produits positive <sep> service positive <sep> ambiance positive
g187253-d3247810-r266613025,id_2,"Un accueil et service toujours parfait, un très bon choix de vin ( même les pichets sont très bon), d apéritifs et surtout tester les coktails!!",accueil positive <sep> service positive <sep> vin positive <sep> pichets positive <sep> coktails positive <sep> apéritifs positive
g187103-d2356006-r280461370,id_0,un bon petit resto qui sert d'excellentes pizzas ou d'autres petits plats pour ceux qui préfèrent débuter autre chose,resto positive <sep> pizzas positive <sep> plats positive
g187253-d866360-r196718360,id_6,"Évitez d'y aller en gros groupe, six personnes c'est déjà beaucoup.",Évitez d'y aller en gros groupe neutral
g187253-d2027102-r115708876,id_7,Nous recommandons ce petit restaurant qui se trouve dans le quartier du Panier.,restaurant positive
g187147-d1931769-r208098047,id_4,Choix de dessert quasi inexistant.,dessert negative
g187147-d795288-r194158635,id_0,"Nous avons beaucoup fréquenté ce petit restaurant , mais là il a beaucoup baissé ...",restaurant negative
g187147-d1450531-r187797211,id_5,Les plats étaient tout de même bons mais maigrichons.,plats positive <sep> plats negative
g187269-d4737816-r250955200,id_0,"Que ce soit au comptoir ou au drive, l'attente est longue .",attente negative
g187075-d1324447-r268262547,id_6,"Réponse du personnel : "" Si vous ne vouliez pas d'insectes, il fallait manger à l'intérieur !""",
g187175-d5895235-r283369631,id_4,"Le patron ne s’intéresse qu'aux habitués (les entreprises de bureau), les autres passent après...",patron negative
g187147-d718804-r215863872,id_7,Je trouve regrettable également que tous les plats sont arrivés froids...,plats negative
g207360-d1322426-r168375321,id_1,"Les nems sont corrects, les quantités sont petites (nous sommes sortis en ayant à peine assez mangé), le poulet croustillant ne l'est pas et baigne dans le gras.",nems neutral <sep> quantités negative <sep> poulet croustillant negative
g187075-d2494303-r273809197,id_0,Je mange rarement les plats du jour dans les restaurants où je me rends mais j'ai fais une exception cette fois ci.,
g187198-d2041733-r222676078,id_3,"Les produits ne sont pas maison, ce qui se ressent sur le goût.",produits negative
g187147-d695189-r251436609,id_10,Donc ne pas sélectionner ce restaurant pour un repas gourmet mais pour manger correctement sans plus.,repas neutral <sep> restaurant neutral
g187147-d1390879-r184171903,id_1,Une adresse à éviter.,adresse negative
g187147-d798971-r246183177,id_1,"Notre choix, magret de canard, délicieux, cassoulet, excellent et côtes d'agneau à se lécher les babines.",magret de canard positive <sep> côtes d'agneau positive <sep> cassoulet positive
g187253-d4414030-r197767293,id_1,"Cuisine typique marocaine, carte simple avec toute les plats du pays.",Cuisine positive <sep> carte positive
g187147-d2001829-r198367000,id_0,"Jolie déco, bonne musique, nourriture d'un rapport qualité/prix correcte...un établissement qui serait des plus agréables si le service n'était pas détestable et tout sauf professionnel :",déco positive <sep> musique positive <sep> nourriture neutral <sep> établissement positive <sep> service negative
g187147-d2058328-r229960356,id_2,Jeudi dernier nous avons particulièrement apprécié l'échine de cochon confite avec ses gnocchis (les meilleures que j'ai été amené à goûter) et ses girolles.,échine de cochon confite positive <sep> gnocchis positive
g187140-d1323739-r259481225,id_1,"Pizza sèche, très peu d'ingrédients et un bord énooorme tout sec pour la Regina bianca.",Pizza negative
g187253-d1854779-r278211239,id_2,"Désorganisation totale du service, obligé de redemander à plusieurs reprises l'apéritif ainsi que le vin, à croire qu'ils ne veulent pas qu'on consomme.",service negative
g187147-d2694960-r242979898,id_0,"Cuisine surgelée, de mauvaise qualité.",Cuisine negative
g187147-d1567976-r183244327,id_3,Le saumon n'était pas très frais et la dinde pas assez cuite.,saumon negative <sep> dinde negative
g187091-d3464501-r235318144,id_1,"Produits frais, plats proposés en fonction de l'arrivage, menu concis mais plats extrêmement savoureux.",Produits positive <sep> plats positive <sep> menu neutral <sep> plats positive
g187253-d2189616-r221189178,id_5,(avec un petit sourire en coin),
g608761-d1334432-r281522672,id_3,Service rapide et courtois.,Service positive
g187147-d718146-r234555664,id_5,Foie gras manquait un peu de cuisson.,Foie gras negative
g187147-d2477816-r282304814,id_2,Service sympathique.,Service positive
