Predicted idx,Gold idx
[],"[(10, 13), (51, 55)]"
[],"[(5, 8), (22, 28)]"
"[(27, 31)]","[(33, 39), (41, 45), (55, 59)]"
"[(41, 48), (86, 92)]","[(0, 8), (31, 54), (56, 92)]"
"[(67, 73)]","[(11, 16), (18, 20), (22, 33)]"
"[(6, 10)]","[(0, 4), (12, 17), (23, 27), (29, 35)]"
[],"[(17, 26), (53, 55)]"
"[(0, 3)]","[(23, 26), (45, 49)]"
[],"[(26, 32), (34, 37), (50, 53)]"
"[(10, 13)]","[(15, 18), (20, 27), (29, 35)]"
"[(28, 32)]","[(0, 3), (34, 37)]"
"[(17, 23)]","[(0, 5), (29, 39), (41, 44)]"
"[(14, 18), (20, 22), (40, 45)]","[(0, 6), (8, 12), (24, 28), (66, 71)]"
"[(7, 10), (49, 53)]","[(17, 19), (43, 47)]"
[],"[(0, 3), (11, 16), (53, 57)]"
[],"[(5, 13), (16, 28), (30, 40), (42, 58), (73, 77)]"
"[(5, 11), (28, 33)]","[(28, 33), (41, 45), (65, 74)]"
"[(45, 49)]","[(0, 8), (10, 19), (36, 43), (62, 72)]"
"[(65, 69)]","[(5, 12), (14, 20), (43, 46)]"
[],"[(13, 18), (42, 48)]"
[],"[(2, 5), (18, 22)]"
"[(24, 29)]","[(10, 16), (36, 39)]"
"[(12, 16), (29, 34), (36, 42)]","[(0, 6), (36, 47)]"
"[(0, 6), (18, 21), (48, 51)]","[(18, 21), (23, 46), (53, 58), (60, 62)]"
"[(12, 16)]","[(5, 10), (12, 16)]"
"[(18, 25)]","[(0, 7), (27, 37), (87, 91)]"
"[(20, 25)]","[(14, 17), (46, 49)]"
"[(40, 44)]","[(9, 16), (40, 44)]"
"[(11, 17), (34, 38)]","[(24, 27), (34, 38)]"
[],"[(0, 4), (29, 33)]"
"[(55, 59), (61, 69), (76, 81), (83, 87)]","[(0, 24), (26, 34), (36, 53)]"
[],"[(5, 16), (18, 22)]"
"[(19, 19), (43, 45)]","[(31, 35), (56, 58)]"
[],"[(7, 14), (26, 30)]"
[],"[(14, 16), (41, 45)]"
[],"[(8, 20), (29, 37), (39, 41), (43, 52)]"
"[(12, 16)]","[(0, 5), (23, 26)]"
"[(17, 22)]","[(4, 9), (24, 27)]"
[],"[(0, 11), (48, 52)]"
"[(63, 66)]","[(17, 23), (42, 52)]"
"[(15, 18), (53, 56)]","[(25, 39), (53, 56)]"
